artist,album_id,N_songs,N_songs_wL,N_words,N_words_per_s,Avg_in_dict,Avg_in_NAWL,Avg_vulg,Avg_max_N_Anger,Avg_max_N_Fear,Avg_max_N_Happiness,Avg_max_N_Sadness,Avg_max_N_Disgust,Avg_max_N_Neutral,Avg_min_N_Anger,Avg_min_N_Fear,Avg_min_N_Happiness,Avg_min_N_Sadness,Avg_min_N_Disgust,Avg_min_N_Neutral,Avg_max_sum_Anger,Avg_max_sum_Fear,Avg_max_sum_Happiness,Avg_max_sum_Sadness,Avg_max_sum_Disgust,Avg_min_sum_Anger,Avg_min_sum_Fear,Avg_min_sum_Happiness,Avg_min_sum_Sadness,Avg_min_sum_Disgust
Afro Kolektyw,0Qe1x6jUzZMknaglDsz69T,13,13,2768,0.92500940715853,0.969291907514451,0.208815028901734,0,0.0311418685121107,0.0155709342560554,0.0778546712802768,0.0328719723183391,0.00346020761245675,0.0294117647058824,0.0224913494809689,0.013840830449827,0.0588235294117647,0.0311418685121107,0,0.0259515570934256,2.08595661868512,2.39134736591696,3.61935997785467,2.2100263967128,1.72840936972318,1.51392318010381,1.76705099100346,2.64268187318339,1.62338072820069,1.24242764256055
Afro Kolektyw,7iZ2fgKBeoR9IW9f0Dolr0,12,3,827,0.724100915326598,0.980652962515115,0.218863361547763,0,0.0110497237569061,0.0220994475138122,0.0607734806629834,0.0165745856353591,0.0110497237569061,0.0441988950276243,0.0110497237569061,0.0220994475138122,0.0276243093922652,0.0165745856353591,0.0110497237569061,0.0220994475138122,2.30167161381215,2.54464749337017,3.33871654143646,2.39773497624309,1.78320033314917,1.62503344309392,1.81032882099448,2.26752294917127,1.69819459005525,1.24895720276243
Afro Kolektyw,3Y1u8wVxI0hOTbZupN4jvp,14,10,3706,1.51041948987273,0.964382083108473,0.213707501349164,0.00431732325957906,0.00631313131313131,0.0227272727272727,0.0946969696969697,0.0151515151515152,0.00883838383838384,0.0366161616161616,0.00252525252525253,0.0202020202020202,0.0517676767676768,0.0151515151515152,0.00883838383838384,0.0303030303030303,1.99382985782828,2.25100811022727,3.90665650795455,2.0821741290404,1.66386533611111,1.43623467285354,1.67625415972222,2.85410732550505,1.49741629482323,1.20598704558081
Afro Kolektyw,2dURAH3fhLP9D7wQL1uWI8,15,10,4379,1.51081740431289,0.952957296186344,0.201644211007079,0.00685087919616351,0.0113250283125708,0.0237825594563986,0.0973952434881087,0.0135900339750849,0.00792751981879955,0.0532276330690827,0.00792751981879955,0.0226500566251416,0.057757644394111,0.0135900339750849,0.00792751981879955,0.043035107587769,2.04543723793884,2.27397694258211,3.62275154756512,2.09089384507361,1.71255239546999,1.40043492967157,1.58199835594564,2.38643272559456,1.42205896795017,1.1845608590034
Afro Kolektyw,41OLJSiOmkSANMUWfOUOCh,26,11,3775,1.55965311662074,0.932450331125828,0.175364238410596,0.00556291390728477,0.0151057401812689,0.0317220543806647,0.0845921450151058,0.0287009063444109,0.0287009063444109,0.0392749244712991,0.0105740181268882,0.0287009063444109,0.0498489425981873,0.027190332326284,0.027190332326284,0.0332326283987915,2.10319529033233,2.30869847054381,3.54159359758308,2.09856699154079,1.81951319123867,1.62444123444109,1.78624966132931,2.59249369939577,1.60095012779456,1.40657669063444
Afront,7oid6LbHAwAKEuIWdvVZfz,14,2,661,1.83001614068699,0.972768532526475,0.155824508320726,0.00453857791225416,0,0.00970873786407767,0.12621359223301,0,0.00970873786407767,0.0485436893203884,0,0.00970873786407767,0.0679611650485437,0,0.00970873786407767,0.0388349514563107,1.98029208543689,2.26425192038835,3.77380165048544,1.96680774563107,1.62467845825243,1.36850329417476,1.61958896601942,2.7717824407767,1.39596991165049,1.15919841165049
Afront,6QYalNmNU5ur3zRl0zgOdo,18,5,1795,1.89562548776714,0.972701949860724,0.201671309192201,0.00612813370473538,0.0165745856353591,0.0165745856353591,0.138121546961326,0.00276243093922652,0.00276243093922652,0.0580110497237569,0.00828729281767956,0.0165745856353591,0.0414364640883978,0.00276243093922652,0.00276243093922652,0.0524861878453039,1.95693604585635,2.21241419944751,3.90368491077348,1.99211201519337,1.6418341941989,1.31874759668508,1.53188815773481,2.51907737707182,1.31410835939227,1.1129073640884
Bedoes,3tnrA8DDlYPfRdPxKPAG5O,20,9,3853,2.10009260465443,0.936153646509214,0.224500389307033,0.0181676615624189,0.0161849710982659,0.0127167630057803,0.117919075144509,0.0184971098265896,0.0023121387283237,0.0092485549132948,0.00809248554913295,0.00578034682080925,0.0554913294797688,0.0173410404624277,0.0023121387283237,0.0069364161849711,2.19335918786127,2.40901716901734,3.89498298589595,2.28463927341041,1.8091094,1.41594700554913,1.59749764624277,2.47407244774566,1.4674925583815,1.18127973699422
Bedoes,0iymtVByyJSutVk2Mj4eSu,16,9,3611,1.66041921101808,0.932151758515647,0.202436998061479,0.0113541955137081,0.00683994528043776,0.0232558139534884,0.13406292749658,0.0246238030095759,0.00410396716826265,0.0136798905608755,0.00547195622435021,0.0191518467852257,0.0629274965800274,0.0164158686730506,0.00410396716826265,0.00820793433652531,2.14167552941176,2.37034405212038,3.85557194227086,2.23061042024624,1.76705309575923,1.56230683146375,1.73321971778386,2.72185101012312,1.56973334829001,1.29079023378933
Bedoes,6rWAKiK4PQBGLFgbsX7PsG,14,8,3182,1.95458147263156,0.937774984286612,0.222815839094909,0.0172847265870522,0.00846262341325811,0.0169252468265162,0.145275035260931,0.0183356840620592,0.00987306064880113,0.0169252468265162,0.00423131170662906,0.0141043723554302,0.0803949224259521,0.0183356840620592,0.00987306064880113,0.00846262341325811,2.11596124062059,2.36738071692525,3.86242915444288,2.17347977433004,1.78244105359661,1.62811671819464,1.84613575528914,2.86906241664316,1.65709700564175,1.38182463441467
