artist,artist_id,genres,followers.total,images.url
Pokahontaz,1gvmVN1i1F9MCzRW2ycCYN,polish hip hop,44392,https://i.scdn.co/image/c570c2e6b1863e81d3caa4c780e4e2d3ddd3a158
PRO8L3M,7v49oVVUhvIQG5EK0jkcF7,polish hip hop; polish trap,207276,https://i.scdn.co/image/e6ff8539ff2a895ffe4b4c03031f8f61e65883f1
Quebonafide,1fxbULcd6ryMNc1usHoP0R,polish hip hop,757057,https://i.scdn.co/image/5ba11cb03756afda4b36558bf76c9e99c8eed61e
Rahim,0sKdZaAhTTobH1I6OHB2tY,polish hip hop,21651,https://i.scdn.co/image/82cccbf50f3b0c232c0a21df8dc86775b95eaa9c
Rasmentalism,5qgCrzMzASs1YpEMSp7tGt,polish hip hop,41133,https://i.scdn.co/image/10308b068c05b2f577f2571623b12799ba03a830
schafter,2aDaFARm4U9hf5DI9Fhbnh,polish hip hop; polish trap,102150,https://i.scdn.co/image/45991e4cc114a88b059f70087167ea16bb5f359c
Sentino,6DAQjwwMGZ9QgqHhIkU7H0,german hip hop,11247,https://i.scdn.co/image/595959884a961220185b09651c79fe9d136270a9
Słoń,0wm6v5GU6VbR1wtsm0YiTV,polish hip hop,81786,https://i.scdn.co/image/16b05c6fd3fe10ef380ce405b342c481e62e9fac
Sokół,5Kuxl5ZenCl9fYzmtin6ot,polish hip hop,122424,https://i.scdn.co/image/b0431fb0c7cbb4beac49de566ea79ad96ac97efb
Solar,1KJvuZHmkpnrjIyTLhhwpb,polish hip hop,51473,https://i.scdn.co/image/9304b35bd1a8d8840c1135dfcf7eb6ab5e9912f9
Taco Hemingway,7CJgLPEqiIRuneZSolpawQ,polish hip hop; polish trap,839048,https://i.scdn.co/image/fa8093e18709878e2836f7e4eb0671d6394c92e8
Te-Tris,10iF348LBI6gOnLue1qnG5,polish alternative rap; polish hip hop,12725,https://i.scdn.co/image/ab67616d0000b273775b2e1d913797910fa760d7
TEDE,38iqZSGa2pvToKrMISU8g1,polish hip hop,65057,https://i.scdn.co/image/ac091e449247636fff7ab38138fb6930923d3b2d
Ten Typ Mes,3AU8FAva0w5qdrf5IVu620,polish hip hop,42409,https://i.scdn.co/image/1034166160993ea1f15b25a48225ce38d3821487
Trzeci Wymiar,3LuYfF9A3UhXY4xqQkXjJ7,polish hip hop,47919,https://i.scdn.co/image/ab67616d0000b273cb498bab77f77940c83145fa
TUZZA Globale,5mufBhOA5JhyLcRr3bPYpA,polish hip hop; polish trap,12764,https://i.scdn.co/image/202143cf23e01bad978b3f396c4182c74abffc2f
Tymek,1silJqJQfrrZNFvWWjAyhh,polish alternative rap,444094,https://i.scdn.co/image/382edd5056394360a4f3f389f974418299b9f27c
Vienio,7wFpB8b5ALTKo9IwK3Y5Tq,polish hip hop,8670,https://i.scdn.co/image/3525a6565197a21d545a9b18b5c29134b134a59e
VNM,5mlPiCqcoz6pDrRj90xbJ2,polish hip hop,40272,https://i.scdn.co/image/afd38e3eb2bad90956a053f7219a4d37c500821d
W.E.N.A.,183C4P5B8pmW1zmI4himpF,polish alternative rap; polish hip hop,26196,https://i.scdn.co/image/ab67616d0000b273323871b9069e0ca4aae53707
WWO,0MaSZtK5rLCLPbMNdWQIL9,polish hip hop,58354,https://i.scdn.co/image/b4a804b2002501eb91a68b8c33b6cb087019e605
Wzgórze Ya-Pa 3,6Y7PAikeXzdbuEPjRACgX1,polish hip hop,6784,https://i.scdn.co/image/ab67616d0000b27308771bce817fa003be8f2c08
Zeus,3nVSvjNTDZJY9VTJ9Rd5UR,polish hip hop,78000,https://i.scdn.co/image/ab67616d0000b273176c6ac2acb07d66166bf715
